Level,Date and Time,Source,Event ID,Task Category,
Information,30-09-2024 19:27,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\Microsoft.WindowsNotepad_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,30-09-2024 19:26,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9N6LX9VZQN0L-FrostInteractiveServicesP.DeepLearnbyACEEngineerin
Information,30-09-2024 19:26,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\FrostInteractiveServicesP.DeepLearnbyACEEngineerin_mwz0w1t07g8ra\Settings\settings.dat was cleared updating 1 keys and creating 1 modified pages.
Information,30-09-2024 19:26,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9N6LX9VZQN0L-FrostInteractiveServicesP.DeepLearnbyACEEngineerin
Information,30-09-2024 19:25,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,30-09-2024 19:25,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,30-09-2024 19:25,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,30-09-2024 19:24,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Warning,30-09-2024 19:19,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user INFINITELOOP\HP SID (S-1-5-21-1139039245-4285067927-1271566218-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,30-09-2024 19:05,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,30-09-2024 19:03,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,30-09-2024 18:54,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,30-09-2024 18:51,Service Control Manager,7040,None,The start type of the Microsoft Defender Antivirus Mini-Filter Driver service was changed from boot start to demand start.
Information,30-09-2024 18:51,Microsoft-Windows-FilterManager,1,None,"File System Filter 'WdFilter' (Version 10.0, ‎2046‎-‎12‎-‎28T09:14:16.000000000Z) unloaded successfully."
Information,30-09-2024 18:51,Service Control Manager,7040,None,The start type of the Microsoft Defender Antivirus Boot Driver service was changed from boot start to demand start.
Information,30-09-2024 18:51,Service Control Manager,7040,None,The start type of the Microsoft Defender Antivirus Service service was changed from auto start to demand start.
Information,30-09-2024 18:51,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.
Information,30-09-2024 18:50,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee Scheduled Task - (mc-sustainability)) service was changed from demand start to disabled.
Information,30-09-2024 18:50,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\dad\mc-dad.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,30-09-2024 18:50,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee Scheduled Task - (mc-sustainability))
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\sustainability\mc-sustainability.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Warning,30-09-2024 18:50,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user INFINITELOOP\HP SID (S-1-5-21-1139039245-4285067927-1271566218-1001) from address LocalHost (Using LRPC) running in the application container MicrosoftWindows.Client.WebExperience_524.24900.80.0_x64__cw5n1h2txyewy SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,30-09-2024 18:50,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:50,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:50,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:50,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\Settings\settings.dat was cleared updating 6 keys and creating 1 modified pages.
Information,30-09-2024 18:50,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,30-09-2024 18:50,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\Microsoft.Todos_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 13 keys and creating 3 modified pages.
Information,30-09-2024 18:50,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\S-1-5-21-1139039245-4285067927-1271566218-1001\SystemAppData\Helium\Cache\2d7936e632ae1382_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,30-09-2024 18:50,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat was cleared updating 15 keys and creating 2 modified pages.
Information,30-09-2024 18:50,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages.
Information,30-09-2024 18:50,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  MpKsl7a84a662
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{AF9424F4-31D6-45A8-A9D6-88B29BBE6005}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information,30-09-2024 18:50,Microsoft-Windows-FilterManager,6,None,"File System Filter 'WdFilter' (10.0, ‎2046‎-‎12‎-‎28T09:14:16.000000000Z) has successfully loaded and registered with Filter Manager."
Information,30-09-2024 18:50,Service Control Manager,7040,None,The start type of the Microsoft Defender Antivirus Boot Driver service was changed from demand start to boot start.
Information,30-09-2024 18:50,Service Control Manager,7040,None,The start type of the Microsoft Defender Antivirus Mini-Filter Driver service was changed from demand start to boot start.
Information,30-09-2024 18:50,Service Control Manager,7040,None,The start type of the Microsoft Defender Antivirus Service service was changed from demand start to auto start.
Information,30-09-2024 18:49,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3345 keys and creating 156 modified pages.
Warning,30-09-2024 18:49,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.SecurityAppBroker
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,30-09-2024 18:49,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,30-09-2024 18:48,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.
Information,30-09-2024 18:48,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:48,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:48,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:48,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\dad\mc-dad.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,30-09-2024 18:48,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:48,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:48,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Warning,30-09-2024 18:48,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscCloudBackupProvider
 and APPID 
Unavailable
 to the user INFINITELOOP\HP SID (S-1-5-21-1139039245-4285067927-1271566218-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,30-09-2024 18:48,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user INFINITELOOP\HP SID (S-1-5-21-1139039245-4285067927-1271566218-1001) from address LocalHost (Using LRPC) running in the application container MSTeams_24231.512.3106.6573_x64__8wekyb3d8bbwe SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,30-09-2024 18:48,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscCloudBackupProvider
 and APPID 
Unavailable
 to the user INFINITELOOP\HP SID (S-1-5-21-1139039245-4285067927-1271566218-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,30-09-2024 18:48,Microsoft-Windows-Kernel-Processor-Power,37,-7,The speed of processor 7 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,30-09-2024 18:48,Microsoft-Windows-Kernel-Processor-Power,37,-7,The speed of processor 1 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,30-09-2024 18:48,Microsoft-Windows-Kernel-Processor-Power,37,-7,The speed of processor 5 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,30-09-2024 18:48,Microsoft-Windows-Kernel-Processor-Power,37,-7,The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,30-09-2024 18:48,Microsoft-Windows-Kernel-Processor-Power,37,-7,The speed of processor 4 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,30-09-2024 18:48,Microsoft-Windows-Kernel-Processor-Power,37,-7,The speed of processor 2 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,30-09-2024 18:48,Microsoft-Windows-Kernel-Processor-Power,37,-7,The speed of processor 6 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Warning,30-09-2024 18:48,Microsoft-Windows-Kernel-Processor-Power,37,-7,The speed of processor 0 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 71 seconds since the last report.
Information,30-09-2024 18:48,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,30-09-2024 18:47,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:47,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:47,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:47,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:47,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:47,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\MicrosoftWindows.CrossDevice_cw5n1h2txyewy\Settings\settings.dat was cleared updating 26 keys and creating 3 modified pages.
